,买卖方向,股票代码,股票名称,委托价格,股票数量,金额,策略类型,融资负债
0,卖出,834950.BJ,迅安科技,24.22,3163,76607.86,北证机构调研,0
1,卖出,920445.BJ,龙竹科技,10.74,6543,70271.82,北证机构调研,0
2,卖出,831855.BJ,浙江大农,21.86,2785,60880.1,北证机构调研,0
3,卖出,430718.BJ,合肥高科,18.35,3072,56371.200000000004,北证机构调研,0
4,卖出,871553.BJ,凯腾精工,10.6,5526,58575.6,北证机构调研,0
5,卖出,832110.BJ,雷特科技,39.69,2782,110417.57999999999,北证机构调研,0
6,卖出,833427.BJ,华维设计,15.53,4448,69077.44,北证机构调研,0
7,卖出,430300.BJ,辰光医疗,21.96,3746,82262.16,北证机构调研,0
8,卖出,872392.BJ,佳合科技,26.36,2348,61893.28,北证机构调研,0
0,买入,871970.BJ,大禹生物,8.81,8151,71817.44888888889,北证机构调研,0
1,买入,873679.BJ,前进科技,21.29,3373,71817.44888888889,北证机构调研,0
2,买入,836942.BJ,恒立钻具,20.46,3510,71817.44888888889,北证机构调研,0
3,买入,831768.BJ,拾比佰,11.6,6191,71817.44888888889,北证机构调研,0
4,买入,838030.BJ,德众汽车,7.55,9512,71817.44888888889,北证机构调研,0
5,买入,839946.BJ,华阳变速,10.15,7075,71817.44888888889,北证机构调研,0
6,买入,831370.BJ,新安洁,4.49,15994,71817.44888888889,北证机构调研,0
7,买入,830974.BJ,凯大催化,8.39,8559,71817.44888888889,北证机构调研,0
8,买入,832471.BJ,美邦科技,17.2,4175,71817.44888888889,北证机构调研,0
0,卖出,430300.BJ,辰光医疗,21.96,3222,70755.12000000001,北证龙虎榜,0
1,卖出,834639.BJ,晨光电缆,9.18,7862,72173.16,北证龙虎榜,0
0,买入,873152.BJ,天宏锂电,18.7,3821,71464.14000000001,北证龙虎榜,0
1,买入,920016.BJ,中草香料,25.53,2799,71464.14000000001,北证龙虎榜,0
0,卖出,603122.SH,合富中国,6.72,6200,41664,小盘低波,0
0,买入,300639.SZ,凯普生物,5.39,7700,41601.504,小盘低波,0
0,卖出,600791.SH,京能置业,4.52,38900,175827.99999999997,低价,0
1,卖出,600322.SH,津投城开,2.39,75800,181162,低价,0
2,卖出,002798.SZ,帝欧家居,4.49,37600,168824,低价,0
3,卖出,600082.SH,海泰发展,3.33,51600,171828,低价,0
4,卖出,002495.SZ,佳隆股份,2.74,65100,178374,低价,0
0,买入,000637.SZ,茂化实华,3.85,45500,175203.2,低价,0
1,买入,002072.SZ,凯瑞德,4.73,37000,175203.2,低价,0
2,买入,002084.SZ,海鸥住工,3.54,49400,175203.2,低价,0
3,买入,002494.SZ,华斯股份,4.77,36700,175203.2,低价,0
4,买入,002524.SZ,光正眼科,4.13,42400,175203.2,低价,0
0,卖出,301097.SZ,天益医疗,38.16,5800,221327.99999999997,落天使,0
1,卖出,600159.SH,大龙地产,2.69,86700,233223,落天使,0
2,卖出,002968.SZ,新大正,9.95,24700,245764.99999999997,落天使,0
0,买入,688310.SH,迈得医疗,12.26,19012,233088.5086666667,落天使,0
1,买入,688216.SH,气派科技,19.01,12261,233088.5086666667,落天使,0
2,买入,688060.SH,云涌科技,34.81,6696,233088.5086666667,落天使,0
0,卖出,301027.SZ,华蓝集团,14.86,19400,288284,涨停板,0
1,卖出,300069.SZ,金利华电,16.25,14500,235625,涨停板,0
0,买入,002883.SZ,中设股份,10.92,23900,261954.5,涨停板,0
1,买入,001373.SZ,翔腾新材,29.31,8900,261954.5,涨停板,0
0,卖出,688551.SH,科威尔,28.07,7164,201093.48,研报,0
0,买入,688618.SH,三旺通信,21.28,9449,201093.48,研报,0
