资金账号,市场代码,证券代码,证券名称,成交编号,任务号,委托编号,操作,brokerPriceType,offsetFlag,委托类别,成交量,成交日期,成交时间,手续费,成交额,备注
9220717,BJ,430300,辰光医疗,02103687,2,1580723441,48,50,49,48,6968,20250519,143200,184.30778080000002,152320.48,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,430718,合肥高科,02105353,2,1580721234,48,50,49,48,1303,20250519,143212,28.883861600000003,23870.96,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,430718,合肥高科,02108647,2,1580721234,49,50,48,48,1000,20250519,143239,22.1672,18320,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,830974,凯大催化,02117816,1,1580721232,48,50,48,48,1302,20250519,143345,2.296728,10936.8,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,830974,凯大催化,02117817,1,1580721999,48,50,48,48,440,20250519,143345,0.7761600000000001,3696,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,830974,凯大催化,02119556,1,1580721999,48,50,48,48,6000,20250519,143359,10.584,50400,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,830974,凯大催化,02122299,1,1580721999,48,50,48,48,817,20250519,143418,1.4411880000000001,6862.8,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,831370,新安洁,02098878,1,1580722001,48,50,48,48,2441,20250519,143121,2.3016189000000002,10960.09,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,831370,新安洁,02107115,1,1580724399,48,50,48,48,13553,20250519,143226,12.779123700000001,60852.97,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,831768,拾比佰,02108608,1,1580722002,48,50,48,48,942,20250519,143239,2.2966902000000005,10936.62,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,831768,拾比佰,02108609,1,1580722716,48,50,48,48,5249,20250519,143239,12.7975869,60940.89,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,831855,浙江大农,02095756,2,1580721236,48,50,49,48,2785,20250519,143052,73.934509,61102.9,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832110,雷特科技,02103351,2,1580721241,48,50,49,48,1856,20250519,143157,88.9994688,73553.28,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832110,雷特科技,02103724,2,1580721241,48,50,49,48,926,20250519,143200,44.403829800000004,36697.38,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832471,美邦科技,02099276,1,1580722000,48,50,48,48,264,20250519,143124,0.9563400000000001,4554,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832471,美邦科技,02101181,1,1580722000,48,50,48,48,370,20250519,143139,1.340325,6382.5,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832471,美邦科技,02101183,1,1580722715,48,50,48,48,3516,20250519,143139,12.736709999999999,60651,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832471,美邦科技,02103672,1,1580722715,48,50,48,48,25,20250519,143200,0.09056249999999999,431.25,2025-05-19FOF国君收盘调仓(05-19 14:27:50)
9220717,BJ,832471,美邦科技,02109016,3,1580723951,48,50,48,48,779,20250519,143242,2.8219275,13437.75,自定义组合
9220717,BJ,832471,美邦科技,02113669,3,1580723951,48,50,48,48,1221,20250519,143314,4.4230725,21062.25,自定义组合
