Unnamed: 0,股票代码,股票名称,委托价格,Close,股票数量,可用数量,金额,策略类型,融资负债
2,300237.SZ,美晨科技,0,1.82,97100,97100,0,低价,0
2,002084.SZ,海鸥住工,0,3.53,49400,49400,0,低价,0
3,002494.SZ,华斯股份,0,4.84,36700,36700,0,低价,0
1,002072.SZ,凯瑞德,0,4.85,37000,37000,0,低价,0
24,600533.SH,栖霞建设,0,2.36,72800,72800,0,低价,0
23,000545.SZ,金浦钛业,0,2.42,73800,73800,0,低价,0
22,002652.SZ,扬子新材,0,3.03,56700,56700,0,低价,0
21,000826.SZ,启迪环境,0,1.86,0,94200,0,低价,0
20,002634.SZ,棒杰股份,0,4.03,42500,42500,0,低价,0
18,603183.SH,建研院,0,4.12,41400,41400,0,低价,0
17,603616.SH,韩建河山,0,3.97,43300,43300,0,低价,0
16,002622.SZ,皓宸医疗,0,2.77,60600,60600,0,低价,0
0,000637.SZ,茂化实华,0,3.86,45500,45500,0,低价,0
13,000692.SZ,惠天热电,0,3.52,48600,48600,0,低价,0
5,002133.SZ,广宇集团,0,2.89,59100,59100,0,低价,0
14,600408.SH,安泰集团,0,2.03,89200,89200,0,低价,0
4,000890.SZ,法尔胜,0,3.69,47000,47000,0,低价,0
6,601996.SH,丰林集团,0,2.16,80200,80200,0,低价,0
7,002247.SZ,聚力文化,0,2.68,64400,64400,0,低价,0
3,002486.SZ,嘉麟杰,0,2.48,0,71400,0,低价,0
9,603778.SH,国晟科技,0,3.26,53300,53300,0,低价,0
12,002798.SZ,帝欧家居,0,4.9,37600,37600,0,低价,0
11,600159.SH,大龙地产,0,2.62,65400,65400,0,低价,0
8,000632.SZ,三木集团,0,3.65,44400,44400,0,低价,0
10,002775.SZ,文科股份,0,3.83,47000,47000,0,低价,0
44,835857.BJ,百甲科技,0,7.1,7528,7528,0,北证增强,0
43,871970.BJ,大禹生物,0,8.82,6258,6258,0,北证增强,0
42,836942.BJ,恒立钻具,0,21.08,2746,2746,0,北证增强,0
41,870508.BJ,丰安股份,0,20.75,2562,2562,0,北证增强,0
39,836414.BJ,欧普泰,0,14.18,0,4078,0,北证增强,0
38,839719.BJ,宁新新材,0,17.29,4492,4492,0,北证增强,0
36,873527.BJ,夜光明,0,19.94,2618,2618,0,北证增强,0
40,831768.BJ,拾比佰,0,12.0,5825,5825,0,北证增强,0
34,838030.BJ,德众汽车,0,7.98,9107,9107,0,北证增强,0
25,873679.BJ,前进科技,0,21.94,2494,2494,0,北证增强,0
35,430090.BJ,同辉信息,0,6.65,10575,10575,0,北证增强,0
27,830832.BJ,齐鲁华信,0,8.36,6084,6084,0,北证增强,0
28,836504.BJ,博迅生物,0,27.18,2052,2052,0,北证增强,0
