市场代码,证券代码,证券名称,操作,成交量,成交额,手续费
BJ,430300,辰光医疗,卖出,6968,152320.48,184.30778080000002
BJ,430718,合肥高科,卖出,303,42190.96,51.051061600000004
BJ,830974,凯大催化,买入,8559,71895.6,15.098075999999999
BJ,831370,新安洁,买入,15994,71813.06,15.0807426
BJ,831768,拾比佰,买入,6191,71877.51,15.094277100000001
BJ,831855,浙江大农,卖出,2785,61102.9,73.934509
BJ,832110,雷特科技,卖出,2782,110250.66,133.4032986
BJ,832471,美邦科技,买入,6175,106518.75,22.3689375
BJ,833427,华维设计,卖出,4448,69210.88,83.74516479999998
BJ,834639,晨光电缆,卖出,7862,72015.92,87.13926319999999
BJ,834950,迅安科技,卖出,3163,76512.97,92.5806937
BJ,836942,恒立钻具,买入,3510,72030.53,15.126411299999997
BJ,838030,德众汽车,买入,9512,72086.48,15.138160800000001
BJ,839946,华阳变速,买入,7075,71921.13,15.1034373
BJ,871553,凯腾精工,卖出,5526,58575.600000000006,70.87647599999998
BJ,871970,大禹生物,买入,8151,71973.33,15.1143993
BJ,872392,佳合科技,卖出,2348,61505.13,74.42120729999999
BJ,873152,天宏锂电,买入,3821,71414.49,14.9970429
BJ,873679,前进科技,买入,3373,72081.01000000001,15.1370121
BJ,920016,中草香料,买入,4099,104965.39,22.0427319
BJ,920445,龙竹科技,卖出,6543,70271.81999999999,85.02890219999999
SH,204001,GC001,卖出,60,6000.0,0.060000000000000005
SH,600082,海泰发展,卖出,51600,188856.0,226.6272
SH,600159,大龙地产,卖出,86700,233223.0,279.8675999999999
SH,600322,津投城开,卖出,75800,181162.0,217.39440000000002
SH,600791,京能置业,卖出,38900,176217.0,211.46040000000002
SH,603122,合富中国,卖出,6200,41602.0,49.9224
SH,688060,云涌科技,买入,6696,233364.99,46.672998
SH,688216,气派科技,买入,12261,234407.4,46.88148000000001
SH,688310,迈得医疗,买入,19012,234913.24,46.982648000000005
SH,688551,科威尔,卖出,7164,201380.04,241.656048
SH,688618,三旺通信,买入,8919,190032.94,38.00658800000001
SZ,000637,茂化实华,买入,45500,175658.0,35.131600000000006
SZ,001373,翔腾新材,买入,8900,261203.0,52.2406
SZ,002072,凯瑞德,买入,37000,175750.0,35.150000000000006
SZ,002084,海鸥住工,买入,49400,175370.0,35.074
SZ,002494,华斯股份,买入,36700,175426.0,35.0852
SZ,002495,佳隆股份,卖出,65100,177723.0,213.26760000000002
SZ,002883,中设股份,买入,23900,261705.0,52.34100000000004
SZ,002968,新大正,卖出,24700,245765.0,294.9179999999999
SZ,300069,金利华电,卖出,14500,282750.0,339.3
SZ,300639,凯普生物,买入,7700,41580.0,8.316
SZ,301027,华蓝集团,卖出,19400,288991.0,346.7892
SZ,301097,天益医疗,卖出,5800,221560.0,265.87200000000007
